nama,kategori,kabupaten_kota,deskripsi,harga_tiket,jam_operasional,fasilitas,rating,latitude,longitude,kontak,tips,foto_url,foto_kredit
Kedai Kuliner Bahari Teemoane,kuliner,Wakatobi,"Kedai tepi pantai di Pulau Tomia yang menyajikan hidangan khas biota laut Wakatobi seperti buli-buli dan kerang tumis, sambil menikmati matahari terbenam.",Rp 20.000 - 50.000 per porsi,10:00 - 20:00,"Tempat makan tepi pantai, parkir",4.3,-5.62,124.01,0811-4000-077,Datang sore hari untuk menikmati kuliner sambil melihat sunset,,
Sentra Kuliner Katumbu & Tunuha Muna,kuliner,Muna,"Pusat jajanan khas Pulau Muna yang menyajikan katumbu (olahan jagung) dan tunuha, kuliner tradisional yang telah populer sejak lama di kalangan masyarakat Muna.",Rp 10.000 - 30.000 per porsi,08:00 - 20:00,"Tempat makan lesehan, parkir",4.1,-4.85,122.56,0811-4000-078,Cicipi katumbu hangat sebagai camilan khas oleh-oleh,,
Kedai Kapusu Nosu Busoa,kuliner,Buton Selatan,"Kedai yang menyajikan kapusu nosu, bubur jagung gurih khas masyarakat Busoa yang menjadi alternatif pengganti nasi bagi warga Buton Selatan.",Rp 10.000 - 25.000 per porsi,08:00 - 21:00,"Tempat makan sederhana, parkir",4.0,-5.59,122.61,0811-4000-079,Nikmati kapusu nosu bersama ikan asin atau ikan dole khas Buton,,
Sentra Gula Kalupu Kabaena,kuliner,Bombana,"Sentra produksi gola ni'i atau gula kalupu, olahan tradisional dari gula aren, kelapa, dan beras ketan khas Pulau Kabaena yang dibalut daun jagung kering.",Gratis kunjungan,08:00 - 17:00,"Area produksi, toko oleh-oleh",4.0,-4.92,121.88,0811-4000-080,Cocok dijadikan oleh-oleh khas karena tahan lama,,
Kedai Luluta Wanci,kuliner,Wakatobi,"Kedai yang menyajikan luluta, nasi bambu bakar khas masyarakat adat Wanci di Pulau Wangi-Wangi, Wakatobi.",Rp 10.000 - 20.000 per porsi,08:00 - 20:00,"Tempat makan sederhana, parkir",4.1,-5.34,123.59,0811-4000-081,"Luluta tahan cukup lama, cocok dibawa sebagai bekal perjalanan laut",,
Bukit Teletubbies Bombana,alam,Bombana,"Perbukitan savana di Desa Tinabite, Kecamatan Lantari Jaya, kawasan Taman Nasional Rawa Aopa, dengan gundukan bukit berdiri sendiri menyerupai latar serial Teletubbies.",Rp 5.000,07:00 - 17:00,"Jalur trekking, area foto",4.2,-4.55,121.85,0811-4000-082,Bawa air minum sendiri karena minim fasilitas di area bukit,,
Sungai Mosolo,alam,Konawe Kepulauan,"Aliran sungai jernih di Pulau Wawonii yang menjadi pelengkap wisata alam Konawe Kepulauan, populer untuk mandi dan bersantai di tengah rimbunnya pepohonan.",Rp 5.000,07:00 - 17:00,"Area bilas, parkir",4.0,-3.97,123.05,0811-4000-083,Cocok dikombinasikan dengan kunjungan ke Pantai Kampa dan Pantai Tengkera,,
Tanjung Malaaha,alam,Kolaka,"Tanjung dengan panorama pesisir yang tenang di Kabupaten Kolaka, menjadi salah satu objek wisata alam yang mulai dikembangkan bersama Sungai Tamborasi.",Rp 5.000,07:00 - 17:00,"Parkir, area foto",3.9,-4.1,121.58,0811-4000-084,Kunjungi saat cuaca cerah untuk pemandangan tanjung yang lebih memukau,,
Permandian Hendaopa,alam,Wakatobi,"Kolam air tawar alami berwarna biru toska yang jernih di Desa Wawotimo, Pulau Tomia, menjadi favorit wisatawan pencinta wisata air tawar di tengah Wakatobi yang identik dengan laut.",Rp 10.000,07:00 - 18:00,"Kolam permandian, parkir, gazebo",4.4,-5.65,124.03,0811-4000-085,"Air sangat jernih, jaga kebersihan kolam selama berenang",,
Pantai Labobo,bahari,Buton Tengah,"Pantai berpasir putih berkilau di Desa Balobone, Kecamatan Mawasangka Tengah, dikelilingi jejeran pohon kelapa yang menghadirkan nuansa tropis yang syahdu.",Rp 5.000,06:00 - 18:00,"Parkir, gazebo, warung",4.3,-5.28,122.35,0811-4000-086,Cocok untuk piknik keluarga karena suasananya tenang,,
Pasir Timbul Bone Labunta,bahari,Buton Tengah,"Gugusan pasir putih yang muncul di tengah laut lepas Kecamatan Mawasangka saat air surut, menghadirkan sensasi berdiri di tengah lautan tanpa penghuni.",Rp 15.000 + perahu,Tergantung jadwal surut,Perahu wisata,4.4,-5.22,122.3,0811-4000-087,Cek jadwal pasang surut sebelum berangkat agar pasir timbul terlihat sempurna,,
Desa Wisata Terapung Mawasangka,bahari,Buton Tengah,"Desa wisata di Kecamatan Mawasangka yang menawarkan paket lengkap wisata bahari, terkenal dengan pemandangan matahari terbenam dan wahana ayunan raksasa di tepi laut.",Rp 10.000,07:00 - 18:00,"Ayunan raksasa, gazebo, homestay",4.3,-5.2,122.42,0811-4000-088,Datang menjelang sore untuk berfoto di ayunan raksasa dengan latar sunset,,
Gua Koo,alam,Buton Tengah,"Gua alami di Desa Lantongau, Kecamatan Mawasangka, dengan kolam air biru jernih sebening kaca yang dikelilingi dinding gua menjulang tinggi.",Rp 10.000,08:00 - 17:00,"Pemandu lokal, area bilas",4.3,-5.24,122.38,0811-4000-089,"Air terdalam cukup dalam, disarankan bisa berenang atau memakai pelampung",,
Pantai Tengkera,bahari,Konawe Kepulauan,"Salah satu pantai andalan di Pulau Wawonii dengan pasir putih dan air laut jernih, menjadi favorit warga Konawe Kepulauan untuk berlibur akhir pekan.",Rp 5.000,06:00 - 18:00,"Parkir, gazebo, warung",4.2,-3.9,123.05,0811-4000-090,Gabungkan kunjungan dengan Pantai Kampa dan Sungai Mosolo dalam satu hari,,
Desa Wisata Wasuemba,sejarah,Buton,"Desa wisata di Kecamatan Wabula yang kaya peninggalan sejarah dan pantai indah, termasuk kolam keramat E'e Tobungku yang dipercaya warga setempat membawa berkah bila dijaga kelestariannya.",Rp 10.000,07:00 - 17:00,"Pemandu lokal, homestay warga",4.2,-5.42,122.78,0811-4000-091,Hormati kepercayaan dan aturan adat setempat terkait kolam keramat,,
Desa Wisata Burangasi,bahari,Buton Selatan,"Desa wisata dengan paket lengkap keindahan alam hingga warisan budaya, menawarkan pantai yang asri dan kehidupan masyarakat pesisir yang masih kental adat istiadatnya.",Rp 10.000,07:00 - 17:00,"Homestay, perahu wisata",4.2,-5.52,122.65,0811-4000-092,Ikut serta dalam kegiatan budaya warga jika bertepatan dengan acara adat,,
Desa Wisata Kulati,bahari,Wakatobi,"Desa wisata di Kecamatan Tomia Timur yang menyuguhkan keindahan bahari khas Wakatobi, dipadu dengan kearifan lokal masyarakat pesisir yang ramah.",Rp 10.000,07:00 - 18:00,"Homestay, dermaga, gazebo",4.3,-5.65,124.05,0811-4000-093,Cocok dijadikan basis untuk menjelajah spot diving di sekitar Pulau Tomia,,
Pantai Pasir Panjang Namu,bahari,Konawe Selatan,"Pantai dengan garis pantai panjang berpasir putih kecoklatan di Dusun III Desa Namu, Kecamatan Laonti, sering dijangkau lewat jalur perbukitan atau perahu nelayan.",Rp 10.000,07:00 - 17:00,"Perahu sewa, area camping",4.1,-4.39,122.73,0811-4000-094,Gabungkan kunjungan dengan Pantai Namu yang berada di desa yang sama,,
Desa Wisata Kahianga,sejarah,Wakatobi,"Desa wisata yang menampilkan kearifan lokal masyarakat Wakatobi, mulai dari tradisi, kerajinan tangan, hingga kehidupan sehari-hari yang masih memegang teguh adat.",Rp 5.000,08:00 - 17:00,"Pemandu lokal, sentra kerajinan",4.1,-5.42,123.65,0811-4000-095,Interaksi langsung dengan warga untuk belajar kerajinan tangan khas setempat,,
Museum Bharugano Wuna,sejarah,Muna,"Museum di Kota Raha yang menyimpan koleksi budaya dan sejarah Kesultanan Muna, termasuk koleksi kayu jati dan artefak peninggalan kerajaan setempat.",Rp 5.000,08:00 - 16:00 (Senin-Jumat),"Pemandu, parkir, ruang pamer",4.0,-4.85,122.51,0811-4000-096,Cocok dipadukan dengan kunjungan ke Makam Raja-Raja Muna yang searah,,
Masjid Agung Al Munajat Raha,religi,Muna,Masjid agung di Kota Raha yang menjadi pusat kegiatan keagamaan umat Islam di Kabupaten Muna sekaligus landmark kota.,Gratis,04:00 - 21:00,"Parkir luas, tempat wudhu",4.3,-4.84,122.52,0811-4000-097,Waktu terbaik berkunjung menjelang salat Jumat untuk suasana yang lebih ramai,,
Sentra Tenun Kamohu Mawasangka,sejarah,Buton Tengah,"Sentra pembuatan kain tenun Kamohu, warisan budaya tak benda nasional sejak 2019, yang telah ditenun turun-temurun oleh masyarakat Kecamatan Mawasangka sejak abad ke-19.",Gratis kunjungan,08:00 - 17:00,"Area produksi, toko kain tenun",4.1,-5.21,122.4,0811-4000-098,Bisa membeli langsung kain tenun Kamohu sebagai oleh-oleh khas,,
Sentra Batik Wulele Sorume,sejarah,Kolaka Timur,"Sentra pembuatan batik dengan motif Wulele Sorume, terinspirasi dari bunga Anggrek Sorume yang hanya tumbuh di pegunungan Kolaka Timur, khususnya kawasan Ulu Iwoi dan Mowewe.",Gratis kunjungan,08:00 - 17:00,"Area produksi, toko batik",4.0,-3.98,121.88,0811-4000-099,"Motif Wulele Sorume sempat dipakai desainer nasional Ivan Gunawan, cocok jadi oleh-oleh unik",,
Istana Malige,sejarah,Kota Baubau,"Istana kayu tradisional Kesultanan Buton yang dibangun tanpa paku, terletak dalam kompleks Benteng Keraton Buton, menjadi simbol arsitektur khas Buton yang megah.",Rp 10.000,08:00 - 17:00,"Pemandu, parkir",4.4,-5.4675,122.6165,0811-4000-100,Kunjungi bersamaan dengan Benteng Keraton Buton karena lokasinya berdekatan,,
